schemeBy,schemeLocation,foundedBy,departmentName,Beneficiary,schemeObjective,schemeName,description,tags
Central,National,Ministry of Agriculture,Horticulture Department,Individual,To support farmers with financial assistance for improving crop production,Farmers Marginal Farmer Soil Health Card Program,This scheme aims to To support farmers with financial assistance for improving crop production for marginal farmer by implementing the soil health card program. It provides support and benefits to eligible beneficiaries in line with the goal of To support farmers with financial assistance for improving crop production.,"Marginal Farmer, Agriculture, Subsidy"
State,Karnataka,State Government of Karnataka,Horticulture Department,Individual,To promote sustainable agricultural practices and increase productivity,Farmers Marginal Farmer Horticulture Development Program (3),This scheme aims to To promote sustainable agricultural practices and increase productivity for marginal farmer by implementing the horticulture development program. It provides support and benefits to eligible beneficiaries in line with the goal of To promote sustainable agricultural practices and increase productivity.,"Marginal Farmer, Agriculture, Subsidy, Poor"
State,Uttar Pradesh,State Government of Uttar Pradesh,Horticulture Department,Individual,To support farmers with financial assistance for improving crop production,Farmers Tribal Farmer Soil Health Card Program (2),This scheme aims to To support farmers with financial assistance for improving crop production for tribal farmer by implementing the soil health card program. It provides support and benefits to eligible beneficiaries in line with the goal of To support farmers with financial assistance for improving crop production.,"Tribal, Farmer, Agriculture, Subsidy"
State,Gujarat,State Government of Gujarat,Agriculture Department,Individual,To provide insurance coverage and subsidies to farmers against crop failure,Agricultural General Farmer Soil Health Card Program (2),This scheme aims to To provide insurance coverage and subsidies to farmers against crop failure for general farmer by implementing the soil health card program. It provides support and benefits to eligible beneficiaries in line with the goal of To provide insurance coverage and subsidies to farmers against crop failure.,"Farmer, Agriculture, Subsidy, Rural"
Municipal,"Ahmedabad, Gujarat",Municipal Corporation,Horticulture Department,Individual,To promote sustainable agricultural practices and increase productivity,Agricultural Small Holder Seed Distribution Scheme,This scheme aims to To promote sustainable agricultural practices and increase productivity for small holder by implementing the seed distribution scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To promote sustainable agricultural practices and increase productivity.,"Small Farmer, Agriculture, Subsidy, Rural"
Central,National,Ministry of Agriculture,Irrigation Department,Individual,To provide insurance coverage and subsidies to farmers against crop failure,Farmers General Farmer Soil Health Card Program (3),This scheme aims to To provide insurance coverage and subsidies to farmers against crop failure for general farmer by implementing the soil health card program. It provides support and benefits to eligible beneficiaries in line with the goal of To provide insurance coverage and subsidies to farmers against crop failure.,"Farmer, Agriculture, Subsidy"
State,Uttar Pradesh,State Government of Uttar Pradesh,Horticulture Department,Individual,To promote sustainable agricultural practices and increase productivity,Farmers Tribal Farmer Micro-Irrigation Scheme,This scheme aims to To promote sustainable agricultural practices and increase productivity for tribal farmer by implementing the micro-irrigation scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To promote sustainable agricultural practices and increase productivity.,"Tribal, Farmer, Agriculture, Subsidy"
Central,National,Central Government of India,Agriculture Department,Individual,To support farmers with financial assistance for improving crop production,Agricultural General Farmer Irrigation Assistance Scheme (3),This scheme aims to To support farmers with financial assistance for improving crop production for general farmer by implementing the irrigation assistance scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To support farmers with financial assistance for improving crop production.,"Farmer, Agriculture, Subsidy, Rural"
State,Uttar Pradesh,State Government of Uttar Pradesh,Horticulture Department,Individual,To support farmers with financial assistance for improving crop production,Farmers Marginal Farmer Horticulture Development Program (4),This scheme aims to To support farmers with financial assistance for improving crop production for marginal farmer by implementing the horticulture development program. It provides support and benefits to eligible beneficiaries in line with the goal of To support farmers with financial assistance for improving crop production.,"Marginal Farmer, Agriculture, Subsidy"
State,Gujarat,State Government of Gujarat,Horticulture Department,Individual,To provide insurance coverage and subsidies to farmers against crop failure,Farmers General Farmer Micro-Irrigation Scheme,This scheme aims to To provide insurance coverage and subsidies to farmers against crop failure for general farmer by implementing the micro-irrigation scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To provide insurance coverage and subsidies to farmers against crop failure.,"Farmer, Agriculture, Subsidy, Poor"
State,Maharashtra,State Government of Maharashtra,Agriculture Department,Individual,To provide insurance coverage and subsidies to farmers against crop failure,Farmers Women Farmer Crop Insurance Scheme,This scheme aims to To provide insurance coverage and subsidies to farmers against crop failure for women farmer by implementing the crop insurance scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To provide insurance coverage and subsidies to farmers against crop failure.,"Women, Farmer, Agriculture, Subsidy, Rural, Poor"
Central,National,Ministry of Social Justice,Social Justice Department,Individual,To promote self-employment and entrepreneurship among women,State Widow Women Entrepreneurship Program,This scheme aims to To promote self-employment and entrepreneurship among women for widow by implementing the women entrepreneurship program. It provides support and benefits to eligible beneficiaries in line with the goal of To promote self-employment and entrepreneurship among women.,"Widow, Women, Financial Assistance, Urban"
District,"Patna, Bihar",District Council,Social Justice Department,Individual,To empower women through financial support and training,State Widow Widow Pension Scheme,This scheme aims to To empower women through financial support and training for widow by implementing the widow pension scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To empower women through financial support and training.,"Widow, Women, Financial Assistance, Rural, Poor"
State,Uttar Pradesh,State Government of Uttar Pradesh,Women and Child Development Department,Individual,To empower women through financial support and training,State Pregnant Women Girl Child Protection Scheme,This scheme aims to To empower women through financial support and training for pregnant women by implementing the girl child protection scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To empower women through financial support and training.,"Pregnant Women, Health, Women, Poor"
Municipal,"Chennai, Tamil Nadu",Municipal Corporation,Social Justice Department,Individual,To empower women through financial support and training,State Pregnant Women Women Entrepreneurship Program,This scheme aims to To empower women through financial support and training for pregnant women by implementing the women entrepreneurship program. It provides support and benefits to eligible beneficiaries in line with the goal of To empower women through financial support and training.,"Pregnant Women, Health, Women"
State,Gujarat,State Government of Gujarat,Social Justice Department,Individual,To empower women through financial support and training,Chief Minister Pregnant Women Women Entrepreneurship Program,This scheme aims to To empower women through financial support and training for pregnant women by implementing the women entrepreneurship program. It provides support and benefits to eligible beneficiaries in line with the goal of To empower women through financial support and training.,"Pregnant Women, Health, Women, Urban"
State,Tamil Nadu,State Government of Tamil Nadu,Social Justice Department,Individual,To provide social security to widows and single women,Central Single Mother Widow Pension Scheme,This scheme aims to To provide social security to widows and single women for single mother by implementing the widow pension scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To provide social security to widows and single women.,"Single Mother, Women, Financial Assistance"
Central,National,Central Government of India,Women and Child Development Department,Individual,To provide social security to widows and single women,Central Single Mother Girl Child Protection Scheme,This scheme aims to To provide social security to widows and single women for single mother by implementing the girl child protection scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To provide social security to widows and single women.,"Single Mother, Women, Financial Assistance"
State,Tamil Nadu,State Government of Tamil Nadu,Women and Child Development Department,Individual,To provide social security to widows and single women,Central Widow Women Self-Help Group (SHG) Support Scheme,This scheme aims to To provide social security to widows and single women for widow by implementing the women self-help group (shg) support scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To provide social security to widows and single women.,"Widow, Women, Financial Assistance"
Central,National,Ministry of Agriculture,Social Justice Department,Individual,To empower women through financial support and training,Central Pregnant Women Maternity Benefit Scheme,This scheme aims to To empower women through financial support and training for pregnant women by implementing the maternity benefit scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To empower women through financial support and training.,"Pregnant Women, Health, Women, Poor"
Central,National,Ministry of Social Justice,Women and Child Development Department,Individual,To empower women through financial support and training,Central Girl Maternity Benefit Scheme,This scheme aims to To empower women through financial support and training for girl by implementing the maternity benefit scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To empower women through financial support and training.,"Girl, Women, Protection, Urban"
State,Karnataka,State Government of Karnataka,Women and Child Development Department,Individual,To empower women through financial support and training,Central Girl Widow Pension Scheme,This scheme aims to To empower women through financial support and training for girl by implementing the widow pension scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To empower women through financial support and training.,"Girl, Women, Protection, Urban"
Central,National,Ministry of Health and Family Welfare,Women and Child Development Department,Individual,To promote self-employment and entrepreneurship among women,Central Girl Maternity Benefit Scheme (2),This scheme aims to To promote self-employment and entrepreneurship among women for girl by implementing the maternity benefit scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To promote self-employment and entrepreneurship among women.,"Girl, Women, Protection"
State,Uttar Pradesh,State Government of Uttar Pradesh,Social Justice Department,Individual,To provide social security to widows and single women,Chief Minister Single Mother Women Entrepreneurship Program,This scheme aims to To provide social security to widows and single women for single mother by implementing the women entrepreneurship program. It provides support and benefits to eligible beneficiaries in line with the goal of To provide social security to widows and single women.,"Single Mother, Women, Financial Assistance, Poor"
Central,National,Ministry of Health and Family Welfare,Social Justice Department,Individual,To promote self-employment and entrepreneurship among women,Central Widow Women Entrepreneurship Program,This scheme aims to To promote self-employment and entrepreneurship among women for widow by implementing the women entrepreneurship program. It provides support and benefits to eligible beneficiaries in line with the goal of To promote self-employment and entrepreneurship among women.,"Widow, Women, Financial Assistance"
State,Maharashtra,State Government of Maharashtra,Women and Child Development Department,Individual,To provide social security to widows and single women,Central Widow Maternity Benefit Scheme,This scheme aims to To provide social security to widows and single women for widow by implementing the maternity benefit scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To provide social security to widows and single women.,"Widow, Women, Financial Assistance"
State,Uttar Pradesh,State Government of Uttar Pradesh,Women and Child Development Department,Individual,To provide social security to widows and single women,Central Pregnant Women Widow Pension Scheme,This scheme aims to To provide social security to widows and single women for pregnant women by implementing the widow pension scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To provide social security to widows and single women.,"Pregnant Women, Health, Women, Poor"
State,Tamil Nadu,State Government of Tamil Nadu,Women and Child Development Department,Individual,To provide social security to widows and single women,State Single Mother Girl Child Protection Scheme,This scheme aims to To provide social security to widows and single women for single mother by implementing the girl child protection scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To provide social security to widows and single women.,"Single Mother, Women, Financial Assistance"
Central,National,Central Government of India,Women and Child Development Department,Individual,To empower women through financial support and training,State Girl Women Entrepreneurship Program,This scheme aims to To empower women through financial support and training for girl by implementing the women entrepreneurship program. It provides support and benefits to eligible beneficiaries in line with the goal of To empower women through financial support and training.,"Girl, Women, Protection"
Central,National,Ministry of Agriculture,Women and Child Development Department,Individual,To promote self-employment and entrepreneurship among women,State Girl Women Entrepreneurship Program (2),This scheme aims to To promote self-employment and entrepreneurship among women for girl by implementing the women entrepreneurship program. It provides support and benefits to eligible beneficiaries in line with the goal of To promote self-employment and entrepreneurship among women.,"Girl, Women, Protection"
State,Karnataka,State Government of Karnataka,Social Justice Department,Individual,To empower women through financial support and training,State Girl Women Entrepreneurship Program (3),This scheme aims to To empower women through financial support and training for girl by implementing the women entrepreneurship program. It provides support and benefits to eligible beneficiaries in line with the goal of To empower women through financial support and training.,"Girl, Women, Protection, Rural"
Central,National,Ministry of Agriculture,Social Justice Department,Individual,To empower women through financial support and training,State Women Women Self-Help Group (SHG) Support Scheme,This scheme aims to To empower women through financial support and training for women by implementing the women self-help group (shg) support scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To empower women through financial support and training.,"Women, Empowerment, Rural"
State,Karnataka,State Government of Karnataka,Social Justice Department,Individual,To promote self-employment and entrepreneurship among women,Chief Minister Pregnant Women Widow Pension Scheme,This scheme aims to To promote self-employment and entrepreneurship among women for pregnant women by implementing the widow pension scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To promote self-employment and entrepreneurship among women.,"Pregnant Women, Health, Women, Rural"
State,Tamil Nadu,State Government of Tamil Nadu,Social Justice Department,Individual,To empower women through financial support and training,Chief Minister Pregnant Women Widow Pension Scheme (2),This scheme aims to To empower women through financial support and training for pregnant women by implementing the widow pension scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To empower women through financial support and training.,"Pregnant Women, Health, Women"
Municipal,"Lucknow, Uttar Pradesh",Municipal Corporation,Women and Child Development Department,Individual,To provide social security to widows and single women,Central Pregnant Women Women Self-Help Group (SHG) Support Scheme,This scheme aims to To provide social security to widows and single women for pregnant women by implementing the women self-help group (shg) support scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To provide social security to widows and single women.,"Pregnant Women, Health, Women, Poor"
Central,National,Ministry of Social Justice,Women and Child Development Department,Individual,To empower women through financial support and training,Central Widow Maternity Benefit Scheme (2),This scheme aims to To empower women through financial support and training for widow by implementing the maternity benefit scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To empower women through financial support and training.,"Widow, Women, Financial Assistance, Rural"
Central,National,Ministry of Social Justice,Women and Child Development Department,Individual,To provide social security to widows and single women,Chief Minister Single Mother Women Entrepreneurship Program (2),This scheme aims to To provide social security to widows and single women for single mother by implementing the women entrepreneurship program. It provides support and benefits to eligible beneficiaries in line with the goal of To provide social security to widows and single women.,"Single Mother, Women, Financial Assistance, Rural"
State,Gujarat,State Government of Gujarat,Social Justice Department,Individual,To empower women through financial support and training,Central Widow Girl Child Protection Scheme,This scheme aims to To empower women through financial support and training for widow by implementing the girl child protection scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To empower women through financial support and training.,"Widow, Women, Financial Assistance, Poor"
District,"Lucknow, Uttar Pradesh",District Council,Women and Child Development Department,Individual,To provide social security to widows and single women,Central Pregnant Women Women Self-Help Group (SHG) Support Scheme (2),This scheme aims to To provide social security to widows and single women for pregnant women by implementing the women self-help group (shg) support scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To provide social security to widows and single women.,"Pregnant Women, Health, Women, Urban"
State,Bihar,State Government of Bihar,Women and Child Development Department,Individual,To promote self-employment and entrepreneurship among women,State Pregnant Women Women Entrepreneurship Program (2),This scheme aims to To promote self-employment and entrepreneurship among women for pregnant women by implementing the women entrepreneurship program. It provides support and benefits to eligible beneficiaries in line with the goal of To promote self-employment and entrepreneurship among women.,"Pregnant Women, Health, Women"
Municipal,"Pune, Maharashtra",Municipal Corporation,Social Justice Department,Individual,To provide social security to widows and single women,Central Single Mother Widow Pension Scheme (2),This scheme aims to To provide social security to widows and single women for single mother by implementing the widow pension scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To provide social security to widows and single women.,"Single Mother, Women, Financial Assistance, Poor"
District,"Kolkata, West Bengal",District Council,Women and Child Development Department,Individual,To empower women through financial support and training,Chief Minister Pregnant Women Girl Child Protection Scheme,This scheme aims to To empower women through financial support and training for pregnant women by implementing the girl child protection scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To empower women through financial support and training.,"Pregnant Women, Health, Women"
Central,National,Ministry of Health and Family Welfare,Social Justice Department,Individual,To provide social security to widows and single women,State Girl Women Self-Help Group (SHG) Support Scheme,This scheme aims to To provide social security to widows and single women for girl by implementing the women self-help group (shg) support scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To provide social security to widows and single women.,"Girl, Women, Protection"
State,Tamil Nadu,State Government of Tamil Nadu,Women and Child Development Department,Individual,To empower women through financial support and training,Chief Minister Single Mother Maternity Benefit Scheme,This scheme aims to To empower women through financial support and training for single mother by implementing the maternity benefit scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To empower women through financial support and training.,"Single Mother, Women, Financial Assistance"
Central,National,Ministry of Agriculture,Social Justice Department,Individual,To empower women through financial support and training,Central Widow Widow Pension Scheme,This scheme aims to To empower women through financial support and training for widow by implementing the widow pension scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To empower women through financial support and training.,"Widow, Women, Financial Assistance"
State,Karnataka,State Government of Karnataka,Social Justice Department,Individual,To promote self-employment and entrepreneurship among women,Chief Minister Women Widow Pension Scheme,This scheme aims to To promote self-employment and entrepreneurship among women for women by implementing the widow pension scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To promote self-employment and entrepreneurship among women.,"Women, Empowerment, Poor"
State,Bihar,State Government of Bihar,Women and Child Development Department,Individual,To empower women through financial support and training,State Girl Widow Pension Scheme,This scheme aims to To empower women through financial support and training for girl by implementing the widow pension scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To empower women through financial support and training.,"Girl, Women, Protection"
Central,National,Central Government of India,Social Justice Department,Individual,To provide social security to widows and single women,Chief Minister Women Maternity Benefit Scheme,This scheme aims to To provide social security to widows and single women for women by implementing the maternity benefit scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To provide social security to widows and single women.,"Women, Empowerment"
Central,National,Ministry of Social Justice,Women and Child Development Department,Individual,To provide social security to widows and single women,Central Single Mother Widow Pension Scheme (3),This scheme aims to To provide social security to widows and single women for single mother by implementing the widow pension scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To provide social security to widows and single women.,"Single Mother, Women, Financial Assistance, Urban"
Central,National,Ministry of Agriculture,Social Justice Department,Individual,To promote self-employment and entrepreneurship among women,Chief Minister Widow Women Self-Help Group (SHG) Support Scheme,This scheme aims to To promote self-employment and entrepreneurship among women for widow by implementing the women self-help group (shg) support scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To promote self-employment and entrepreneurship among women.,"Widow, Women, Financial Assistance"
Municipal,"Patna, Bihar",Municipal Corporation,Social Justice Department,Individual,To promote self-employment and entrepreneurship among women,State Girl Widow Pension Scheme (2),This scheme aims to To promote self-employment and entrepreneurship among women for girl by implementing the widow pension scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To promote self-employment and entrepreneurship among women.,"Girl, Women, Protection, Urban"
State,Karnataka,State Government of Karnataka,Social Justice Department,Individual,To promote self-employment and entrepreneurship among women,Chief Minister Widow Girl Child Protection Scheme,This scheme aims to To promote self-employment and entrepreneurship among women for widow by implementing the girl child protection scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To promote self-employment and entrepreneurship among women.,"Widow, Women, Financial Assistance"
Central,National,Ministry of Health and Family Welfare,Women and Child Development Department,Individual,To empower women through financial support and training,State Single Mother Women Self-Help Group (SHG) Support Scheme,This scheme aims to To empower women through financial support and training for single mother by implementing the women self-help group (shg) support scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To empower women through financial support and training.,"Single Mother, Women, Financial Assistance"
Central,National,Ministry of Agriculture,Social Justice Department,Individual,To empower women through financial support and training,State Widow Maternity Benefit Scheme,This scheme aims to To empower women through financial support and training for widow by implementing the maternity benefit scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To empower women through financial support and training.,"Widow, Women, Financial Assistance"
Central,National,Ministry of Health and Family Welfare,Social Justice Department,Individual,To empower women through financial support and training,Central Single Mother Women Entrepreneurship Program,This scheme aims to To empower women through financial support and training for single mother by implementing the women entrepreneurship program. It provides support and benefits to eligible beneficiaries in line with the goal of To empower women through financial support and training.,"Single Mother, Women, Financial Assistance"
Taluka,"Pune, Maharashtra",Municipal Corporation,Women and Child Development Department,Individual,To empower women through financial support and training,Central Widow Girl Child Protection Scheme (2),This scheme aims to To empower women through financial support and training for widow by implementing the girl child protection scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To empower women through financial support and training.,"Widow, Women, Financial Assistance"
State,Tamil Nadu,State Government of Tamil Nadu,Social Justice Department,Individual,To promote self-employment and entrepreneurship among women,Chief Minister Women Girl Child Protection Scheme,This scheme aims to To promote self-employment and entrepreneurship among women for women by implementing the girl child protection scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To promote self-employment and entrepreneurship among women.,"Women, Empowerment"
Central,National,Ministry of Health and Family Welfare,Social Justice Department,Individual,To empower women through financial support and training,State Girl Maternity Benefit Scheme,This scheme aims to To empower women through financial support and training for girl by implementing the maternity benefit scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To empower women through financial support and training.,"Girl, Women, Protection, Rural"
State,Bihar,State Government of Bihar,Women and Child Development Department,Individual,To provide social security to widows and single women,State Pregnant Women Girl Child Protection Scheme (2),This scheme aims to To provide social security to widows and single women for pregnant women by implementing the girl child protection scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To provide social security to widows and single women.,"Pregnant Women, Health, Women"
Central,National,Central Government of India,Social Justice Department,Individual,To promote self-employment and entrepreneurship among women,State Single Mother Widow Pension Scheme,This scheme aims to To promote self-employment and entrepreneurship among women for single mother by implementing the widow pension scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To promote self-employment and entrepreneurship among women.,"Single Mother, Women, Financial Assistance, Urban"
State,Maharashtra,State Government of Maharashtra,Women and Child Development Department,Individual,To provide social security to widows and single women,Central Women Women Entrepreneurship Program,This scheme aims to To provide social security to widows and single women for women by implementing the women entrepreneurship program. It provides support and benefits to eligible beneficiaries in line with the goal of To provide social security to widows and single women.,"Women, Empowerment, Urban"
State,Karnataka,State Government of Karnataka,Social Justice Department,Individual,To promote self-employment and entrepreneurship among women,Chief Minister Pregnant Women Maternity Benefit Scheme,This scheme aims to To promote self-employment and entrepreneurship among women for pregnant women by implementing the maternity benefit scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To promote self-employment and entrepreneurship among women.,"Pregnant Women, Health, Women, Rural"
Private,Pan-India,State Government of Karnataka,Women and Child Development Department,Individual,To empower women through financial support and training,Central Single Mother Women Entrepreneurship Program (2),This scheme aims to To empower women through financial support and training for single mother by implementing the women entrepreneurship program. It provides support and benefits to eligible beneficiaries in line with the goal of To empower women through financial support and training.,"Single Mother, Women, Financial Assistance, Urban"
Taluka,"Jaipur, Rajasthan",State Government of Gujarat,Women and Child Development Department,Individual,To empower women through financial support and training,State Single Mother Women Self-Help Group (SHG) Support Scheme (2),This scheme aims to To empower women through financial support and training for single mother by implementing the women self-help group (shg) support scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To empower women through financial support and training.,"Single Mother, Women, Financial Assistance, Urban"
Central,National,Ministry of Education,Social Justice Department,Individual,To promote self-employment and entrepreneurship among women,Central Girl Women Entrepreneurship Program,This scheme aims to To promote self-employment and entrepreneurship among women for girl by implementing the women entrepreneurship program. It provides support and benefits to eligible beneficiaries in line with the goal of To promote self-employment and entrepreneurship among women.,"Girl, Women, Protection, Urban"
State,Karnataka,State Government of Karnataka,Women and Child Development Department,Individual,To provide social security to widows and single women,Central Widow Girl Child Protection Scheme (3),This scheme aims to To provide social security to widows and single women for widow by implementing the girl child protection scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To provide social security to widows and single women.,"Widow, Women, Financial Assistance"
State,Maharashtra,State Government of Maharashtra,Women and Child Development Department,Individual,To provide social security to widows and single women,Central Single Mother Women Entrepreneurship Program (3),This scheme aims to To provide social security to widows and single women for single mother by implementing the women entrepreneurship program. It provides support and benefits to eligible beneficiaries in line with the goal of To provide social security to widows and single women.,"Single Mother, Women, Financial Assistance, Urban"
Central,National,Ministry of Education,Public Health Department,Individual,To ensure access to quality healthcare services for all,State Senior Citizen Universal Health Care Scheme,This scheme aims to To ensure access to quality healthcare services for all for senior citizen by implementing the universal health care scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To ensure access to quality healthcare services for all.,"Senior Citizen, Health, Insurance"
State,Gujarat,State Government of Gujarat,Health Department,Individual,To provide health insurance coverage to the vulnerable sections of society,Pradhan Mantri Infant Maternal and Newborn Health Program,This scheme aims to To provide health insurance coverage to the vulnerable sections of society for infant by implementing the maternal and newborn health program. It provides support and benefits to eligible beneficiaries in line with the goal of To provide health insurance coverage to the vulnerable sections of society.,"Child, Health, Insurance, Rural"
Central,National,Ministry of Social Justice,Public Health Department,Individual,To ensure access to quality healthcare services for all,Pradhan Mantri Infant Maternal and Newborn Health Program (2),This scheme aims to To ensure access to quality healthcare services for all for infant by implementing the maternal and newborn health program. It provides support and benefits to eligible beneficiaries in line with the goal of To ensure access to quality healthcare services for all.,"Child, Health, Insurance"
Central,National,Ministry of Education,Health Department,Individual,To provide health insurance coverage to the vulnerable sections of society,State Senior Citizen Health Protection Scheme,This scheme aims to To provide health insurance coverage to the vulnerable sections of society for senior citizen by implementing the health protection scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To provide health insurance coverage to the vulnerable sections of society.,"Senior Citizen, Health, Insurance, Poor"
Central,National,Ministry of Health and Family Welfare,Public Health Department,Individual,To provide health insurance coverage to the vulnerable sections of society,State Senior Citizen Universal Health Care Scheme (2),This scheme aims to To provide health insurance coverage to the vulnerable sections of society for senior citizen by implementing the universal health care scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To provide health insurance coverage to the vulnerable sections of society.,"Senior Citizen, Health, Insurance, Rural"
State,Bihar,State Government of Bihar,Health Department,Individual,To reduce out-of-pocket expenditure on health care,National Disabled Accident Insurance Scheme,This scheme aims to To reduce out-of-pocket expenditure on health care for disabled by implementing the accident insurance scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To reduce out-of-pocket expenditure on health care.,"Disabled, Health, Insurance"
Central,National,Ministry of Rural Development,Public Health Department,Individual,To reduce out-of-pocket expenditure on health care,State Infant Universal Health Care Scheme,This scheme aims to To reduce out-of-pocket expenditure on health care for infant by implementing the universal health care scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To reduce out-of-pocket expenditure on health care.,"Child, Health, Insurance"
State,Bihar,State Government of Bihar,Health Department,Individual,To reduce out-of-pocket expenditure on health care,Pradhan Mantri Women Health Protection Scheme,This scheme aims to To reduce out-of-pocket expenditure on health care for women by implementing the health protection scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To reduce out-of-pocket expenditure on health care.,"Women, Health, Insurance, Poor"
Central,National,Ministry of Rural Development,Health Department,Individual,To reduce out-of-pocket expenditure on health care,Pradhan Mantri Poor Health Protection Scheme,This scheme aims to To reduce out-of-pocket expenditure on health care for poor by implementing the health protection scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To reduce out-of-pocket expenditure on health care.,"Poor, Health, Insurance"
Municipal,"Lucknow, Uttar Pradesh",Municipal Corporation,Public Health Department,Individual,To reduce out-of-pocket expenditure on health care,State Women Universal Health Care Scheme,This scheme aims to To reduce out-of-pocket expenditure on health care for women by implementing the universal health care scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To reduce out-of-pocket expenditure on health care.,"Women, Health, Insurance"
State,Gujarat,State Government of Gujarat,Health Department,Individual,To reduce out-of-pocket expenditure on health care,Pradhan Mantri Poor Universal Health Care Scheme,This scheme aims to To reduce out-of-pocket expenditure on health care for poor by implementing the universal health care scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To reduce out-of-pocket expenditure on health care.,"Poor, Health, Insurance"
Central,National,Central Government of India,Health Department,Individual,To reduce out-of-pocket expenditure on health care,Pradhan Mantri Infant Accident Insurance Scheme,This scheme aims to To reduce out-of-pocket expenditure on health care for infant by implementing the accident insurance scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To reduce out-of-pocket expenditure on health care.,"Child, Health, Insurance"
Central,National,Ministry of Health and Family Welfare,Health Department,Individual,To ensure access to quality healthcare services for all,State Infant Accident Insurance Scheme,This scheme aims to To ensure access to quality healthcare services for all for infant by implementing the accident insurance scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To ensure access to quality healthcare services for all.,"Child, Health, Insurance, Poor"
Central,National,Ministry of Agriculture,Public Health Department,Individual,To provide health insurance coverage to the vulnerable sections of society,National Infant Accident Insurance Scheme,This scheme aims to To provide health insurance coverage to the vulnerable sections of society for infant by implementing the accident insurance scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To provide health insurance coverage to the vulnerable sections of society.,"Child, Health, Insurance, Poor"
State,Gujarat,State Government of Gujarat,Health Department,Individual,To provide health insurance coverage to the vulnerable sections of society,Pradhan Mantri Disabled Accident Insurance Scheme,This scheme aims to To provide health insurance coverage to the vulnerable sections of society for disabled by implementing the accident insurance scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To provide health insurance coverage to the vulnerable sections of society.,"Disabled, Health, Insurance"
Central,National,Ministry of Rural Development,Health Department,Individual,To provide health insurance coverage to the vulnerable sections of society,State Disabled Maternal and Newborn Health Program,This scheme aims to To provide health insurance coverage to the vulnerable sections of society for disabled by implementing the maternal and newborn health program. It provides support and benefits to eligible beneficiaries in line with the goal of To provide health insurance coverage to the vulnerable sections of society.,"Disabled, Health, Insurance, Poor"
